tipo,cruce,origen,destino,pago_operador,prioridad
PTT-00,,FLETES SOTELO,APTIV RIO BRAVO 1 FV39,0.0,1
PTT-00,,18 LEIGH FISHER,13699 GATEWAY WEST,0.0,1
FAL-00,,FLETES SOTELO,EASTLAKE LOGISTICS PARK,250.0,1
IMP-01,PUENTE ZARAGOZA,ARIES WORLDWIDE LOGISTICS C/O,ACSA,625.0,10
LOC-03,,EMERALD PASS DR.,18 LEIGH FISHER,250.0,1
PTT-00,,STANCO METAL PRODUCTS,P Y H TRAILER ENTERPRISES INC,0.0,1
LOC-01,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,250.0,1
LOC-01,,BASE SOTELO CHIHUAHUA,DSV,125.0,1
PTT-00,,YAZAKI COMPONENTES PLANTA 3,IMPULSORA GANE,0.0,1
TRE-02,,FLETES SOTELO,NA KELLY,500.0,1
MDC-01,,FLETES SOTELO,ELECTROLUX / REFRIGERADORES,375.0,1
EXP-02,PUENTE ZARAGOZA,SHELTER AIN SERVICIOS,KORIMA / KUNA LOOP,500.0,10
I-VACIO,PUENTE AMERICAS,P Y H TRAILER ENTERPRISES INC,ELECTROLUX / PRODUCTO TERMINADO,500.0,10
LOC-04,,EMERALD PASS DR.,18 LEIGH FISHER,250.0,1
LOC-02,,LEAR LA CUESTA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,250.0,1
MDC-01,,TRACSO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,125.0,1
TRI-02,PUENTE ZARAGOZA,SMTC PULLMAN,FLETES SOTELO,500.0,10
LOC-03,,EXPEDITORS #2,EXPEDITORS  #1,125.0,1
PTT-02,,ACSA,ELECTROLUX / REFRIGERADORES,0.0,1
PTT-00,,STANCO METAL PRODUCTS,ARIES WORLDWIDE LOGISTICS C/O,0.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,TRACSO CHIHUAHUA,125.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,HONEYWELL ADENCO,125.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR LA CUESTA,250.0,1
LOC-01,,PACTIV DE MEXICO S. DE R.L DE C.V.,BASE SOTELO CHIHUAHUA,125.0,1
PTT-00,,UNI-TRADE FORWARDING LC,SMTC PULLMAN,0.0,1
LOC-02,,GYSA  CDJ,GYSA JUAREZ 4,125.0,1
PTT-00,,P Y H TRAILER ENTERPRISES INC,MELTON,0.0,1
LOC-02,,HONEYWELL 2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,250.0,1
LOC-04,,KORIMA / KUNA LOOP,18 LEIGH FISHER,250.0,1
PTT-00,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,XYLEM,0.0,1
PTT-00,,BASE SOTELO CHIHUAHUA,PACTIV DE MEXICO S. DE R.L DE C.V.,0.0,1
LOC-04,,IBCA LOGYSTICS,UNI-TRADE FORWARDING LC,250.0,1
MDC-01,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,BASE SOTELO CHIHUAHUA,125.0,1
LOC-02,,LEAR LAS TORRES,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,125.0,1
LOC-04,,UPS FACILITY 10 LEIGHT FISHER,18 LEIGH FISHER,125.0,1
LOC-01,,NORDAM,BASE SOTELO CHIHUAHUA,125.0,1
PTT-00,,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),NORDAM,0.0,1
PTT-00,,SMTC PULLMAN,IBCA LOGYSTICS,0.0,1
LOC-02,,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),125.0,1
S-TER-02,PUENTE ZARAGOZA,YARDA ARIES,ACSA,1000.0,10
LOC-03,,UPS FACILITY 10 LEIGHT FISHER,OLD DOMINION FREIGHT LINE,250.0,1
PTT-00,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,0.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,125.0,1
S-TER-01,PUENTE ZARAGOZA,ELECTROLUX / REFRIGERADORES,STANCO METAL PRODUCTS,1000.0,10
PTT-00,,SMTC PULLMAN,NA KELLY,0.0,1
PTT-00,,P Y H TRAILER ENTERPRISES INC,YARDA ARIES,0.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,HONEYWELL 2,250.0,1
LOC-02,,LEAR SAN LORENZO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,250.0,1
LOC-01,,BASE SOTELO CHIHUAHUA,IMPULSORA GANE,125.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR LAS TORRES,125.0,1
MDC-01,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,250.0,1
PTT-01,,LEAR MONARCA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,0.0,1
LOC-01,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,125.0,1
LOC-01,,DSV,BASE SOTELO CHIHUAHUA,125.0,1
PTT-00,,PACTIV DE MEXICO S. DE R.L DE C.V.,BASE SOTELO CHIHUAHUA,0.0,1
PTT-00,,GYSA JUAREZ JDC,SHELTER AIN SERVICIOS,0.0,1
LOC-01,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR MONARCA,250.0,1
MDC-01,,GYSA JUAREZ 3,GYSA JUAREZ JDC,250.0,1
LOC-02,,LEAR LA CUESTA,LEAR SAN LORENZO,125.0,1
MDC-01,,DTR,BASE SOTELO CHIHUAHUA,125.0,1
TRE-02,PUENTE ZARAGOZA,FLETES SOTELO,IBCA LOGYSTICS,500.0,10
MDC-01,,XOMOX CHIHUAHUA S.A DE C.V.,BASE SOTELO CHIHUAHUA,125.0,1
PTT-00,,BASE SOTELO CHIHUAHUA,XOMOX CHIHUAHUA S.A DE C.V.,0.0,1
PTT-00,,IMPULSORA GANE,PATIO,0.0,1
PTT-00,,XOMOX CHIHUAHUA S.A DE C.V.,BASE SOTELO CHIHUAHUA,0.0,1
MDC-01,,"CHIEF ENTERPRISES MEXICO, S. DE R.L. DE C.V.",BASE SOTELO CHIHUAHUA,125.0,1
PTT-00,,BASE SOTELO CHIHUAHUA,DTR,0.0,1
EXP-02,PUENTE ZARAGOZA,SHELTER AIN SERVICIOS,UPS FACILITY 10 LEIGHT FISHER,500.0,10
