Coordenada,Origen,Destino,Tipo,Cruce, pago 
2902189-4,KORIMA / KUNA LOOP,EXPEDITORS  #1,LOC-03,, $125.00 
2902461-2,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),ADIENT APASEO EL GRANDE,MDC-01,, $125.00 
2901589-5,SA RECYCLING,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2901777-6,LEGRAND DPC,IBCA LOGYSTICS,LOC-04,, $625.00 
2902164-4,NA KELLY,KORIMA / KUNA LOOP,PTT-00,, $-   
2902373-3,EMERALD PASS DR.,P Y H TRAILER ENTERPRISES INC,MDC-01,, $125.00 
2901589-4,KORIMA / KUNA LOOP,SA RECYCLING,LOC-03,, $250.00 
2902374-1,YARDA ARIES,P Y H TRAILER ENTERPRISES INC,PTT-00,, $-   
2902650-2,M Y N PLASTICS,18 LEIGH FISHER,LOC-03,, $375.00 
2902350-1,IMPULSORA GANE,XYLEM,PTT-00,, $-   
2902650-1,KORIMA / KUNA LOOP,M Y N PLASTICS,LOC-04,, $375.00 
2901719-5,SAFRAN PLANTA 5 / ELM / ELECTRIC MEXICO (SEPS),SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),LOC-02,, $125.00 
2902307-3,GYSA JUAREZ 2,FLETES SOTELO,MDC-01,, $125.00 
2902194-3,HERITAGE 12796 GRAND RIVER DR.,GYSA JUAREZ 2,PTT-00,, $-   
2902264-1,SMTC BODEGA,SMTC PLANTA 1,LOC-02,, $125.00 
2902263-1,BASE SOTELO CHIHUAHUA,SMTC BODEGA,LOC-01,, $125.00 
2902258-1,ADIENT APASEO EL GRANDE,IMPULSORA GANE,PTT-00,, $-   
2901982-10,DHL EXPRES SPUR,UPS FACILITY 10 LEIGHT FISHER,MDC-01,, $125.00 
2901982-9,FEDEX AIR,DHL EXPRES SPUR,MDC-01,, $125.00 
2901982-8,FEDEX GROUND,FEDEX AIR,MDC-01,, $250.00 
2902203-1,GYSA JUAREZ 3,APTIV / RIO BRAVO 7 FV32,PTT-00,, $-   
2901982-7,KORIMA / KUNA LOOP,FEDEX GROUND,LOC-03,, $250.00 
2902202-1,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),DTR,PTT-00,, $-   
2901724-2,RIO BRAVO INTERNACIONAL,KORIMA / KUNA LOOP,FAL-00,PUENTE ZARAGOZA, $250.00 
2902076-2,18 LEIGH FISHER,GYSA JUAREZ 4,IMP-02,PUENTE ZARAGOZA, $500.00 
2901982-5,FEDEX GROUND,UPS FACILITY 10 LEIGHT FISHER,LOC-03,, $250.00 
2902143-2,YARDA DEL SIETE,GYSA JUAREZ 2,LOC-01,, $250.00 
2902110-2,ELECTROLUX / REFRIGERADORES,FLETES SOTELO,PTT-02,, $-   
2901589-3,RM2,KORIMA / KUNA LOOP,EXP-02,PUENTE ZARAGOZA, $500.00 
2902145-1,GYSA JUAREZ 2,GYSA  CDJ,LOC-02,, $250.00 
2901982-4,FLETES SOTELO,FEDEX GROUND,TRE-02,PUENTE ZARAGOZA, $500.00 
2902143-1,FLETES SOTELO,YARDA DEL SIETE,PTT-00,, $-   
2902051-4,IBCA LOGYSTICS,FLETES SOTELO,TRI-QMS,," $1,000.00 "
2901589-2,FLETES SOTELO,RM2,PTT-00,, $-   
2902116-1,GYSA JUAREZ 2,GYSA  CDJ,PTT-00,, $-   
2901768-5,FOREFRONT,FLETES SOTELO,LOC-01,, $250.00 
2902236-1,HONEYWELL OPTOELECTRICA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-01,, $250.00 
2901401-4,APTIV / RIO BRAVO 7 FV32,GYSA JUAREZ 2,LOC-01,, $250.00 
2902017-2,SMTC PULLMAN,RECINTO FISCAL - PUENTE ZARAGOZA,LOC-03,, $250.00 
2902095-1,BODEGA NUEVA XOMOX,SMTC PLANTA 1,LOC-01,, $125.00 
2901815-6,XOMOX CHIHUAHUA S.A DE C.V.,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2902112-1,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SMTC PLANTA 1,LOC-01,, $125.00 
2901280-5,IMPULSORA GANE,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,PTT-00,, $-   
2902017-1,FLETES SOTELO,SMTC PULLMAN,PTT-00,PUENTE AMERICAS, $-   
2901970-3,PKC GROUP  / FRESNEL 7650,FLETES SOTELO,MDC-01,, $125.00 
2901258-6,PACTIV DE MEXICO S. DE R.L DE C.V.,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,PTT-00,, $-   
2902226-1,LEAR LAS TORRES,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-01,, $125.00 
2901970-2,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",PKC GROUP  / FRESNEL 7650,MDC-01,, $250.00 
2901758-7,FLETES SOTELO,18 LEIGH FISHER,EXP-02,PUENTE ZARAGOZA, $500.00 
2902005-1,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),NORDAM,PTT-00,, $-   
2902208-1,LEAR MONARCA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-01,, $250.00 
2902239-2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR LAS TORRES,PTT-01,, $-   
2901938-2,YAZAKI COMPONENTES PLANTA 2,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2901908-2,UNI-TRADE FORWARDING LC,PHINIA / BERMUDEZ,IMP-02,PUENTE ZARAGOZA, $500.00 
2901919-3,YAZAKI COMPONENTES PLANTA 2,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2901917-3,TRACSO CHIHUAHUA,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2901919-1,BASE SOTELO CHIHUAHUA,YAZAKI COMPONENTES PLANTA 1,PTT-00,, $-   
2901694-4,IMP SALCEDO CUSTOM BROKERS,FLETES SOTELO,PTT-00,, $-   
2901917-2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,TRACSO CHIHUAHUA,LOC-02,, $125.00 
2901395-3,FOREFRONT,FLETES SOTELO,PTT-00,, $-   
2901768-3,EASTLAKE LOGISTICS PARK,FOREFRONT,IMP-02,PUENTE ZARAGOZA, $500.00 
2901815-1,IBCA LOGYSTICS,PRECOS ZARAGOZA,TRI-02,PUENTE ZARAGOZA, $500.00 
2901768-2,CFI,EASTLAKE LOGISTICS PARK,PTT-00,, $-   
2901817-1,IBCA LOGYSTICS,CFI,PTT-00,, $-   
2901768-1,KORIMA / KUNA LOOP,EASTLAKE LOGISTICS PARK,LOC-04,, $250.00 
2901729-1,ELECTROLUX / REFRIGERADORES,YARDA ARIES,L-VAC-05,PUENTE AMERICAS, $750.00 
2901726-3,XOMOX CHIHUAHUA S.A DE C.V.,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,PTT-00,, $-   
2901581-3,GYSA  CDJ,GYSA JUAREZ 1,LOC-01,, $250.00 
2901726-2,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2901989-1,GYSA  CDJ,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,PTT-00,, $-   
2900581-5,COCLISA PLANTA OMEGA,FLETES SOTELO,LOC-01,, $125.00 
2901802-1,950 LOMA VERDE,M Y N PLASTICS,LOC-03,, $375.00 
2900581-4,FLETES SOTELO,COCLISA PLANTA OMEGA,LOC-02,, $250.00 
2901721-2,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,PTT-00,, $-   
2901686-3,APTIV / RIO BRAVO 7 FV32,FLETES SOTELO,LOC-02,, $250.00 
2901471-1,RIO BRAVO INTERNACIONAL,HOTEL RED ROOF INN CHITO SAMANIEGO DR,FAL-00,, $250.00 
2901799-2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,FLETES SOTELO,PTT-01,, $-   
2901294-5,RIO BRAVO INTERNACIONAL,13699 GATEWAY WEST,LOC-04,, $250.00 
2901470-2,IBCA LOGYSTICS,RIO BRAVO INTERNACIONAL,PTT-00,, $-   
2901113-7,IBCA LOGYSTICS,ABF FREIGHT,MDC-01,, $250.00 
2901635-1,PACTIV DE MEXICO S. DE R.L DE C.V.,SMTC PLANTA 1,PTT-00,, $-   
2901628-1,FLETES SOTELO,ELECTROLUX / PRODUCTO TERMINADO,PTT-02,, $-   
2901303-4,SHELTER AIN SERVICIOS,GYSA  CDJ,PTT-00,, $-   
2901589-1,FLETES SOTELO,RM2,LOC-01,, $250.00 
2901862-1,GENASCO 2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $250.00 
2901060-9,IMPULSORA GANE,PACTIV DE MEXICO S. DE R.L DE C.V.,PTT-00,, $-   
2901485-2,"JABIL CIRCUIT DE CHIHUAHUA, S DE R.L DE C.V",ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,MDC-01,, $125.00 
2901860-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,GENASCO 2,LOC-01,, $250.00 
2901430-1,FLETES SOTELO,18 LEIGH FISHER,PTT-00,PUENTE AMERICAS, $-   
2901522-3,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,CENTURY MOLD MEXICO S DE RL DE CV,LOC-02,, $125.00 
2901601-1,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,XYLEM,PTT-00,, $-   
2901742-1,APEX DIVERSIFIED / ESTHER LAMA,18 LEIGH FISHER,LOC-03,, $250.00 
2901741-1,XIAMEN HONFA TRANSPORTATION,APEX DIVERSIFIED / ESTHER LAMA,LOC-03,, $125.00 
2901522-2,CHIEF ENTERPRISES,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,LOC-02,, $125.00 
2901791-1,LEAR ZARAGOZA,LEAR RIO BRAVO,LOC-01,, $125.00 
2901740-1,DELFINGEN US-TEXAS,XIAMEN HONFA TRANSPORTATION,LOC-03,, $250.00 
2901566-1,XOMOX CHIHUAHUA S.A DE C.V.,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),PTT-00,, $-   
2901808-1,BASCULA LA POSTA,LEAR LA CUESTA,LOC-01,, $125.00 
2901424-3,BASE SOTELO CHIHUAHUA,IMPULSORA GANE,MDC-01,, $125.00 
2901377-15,BASE SOTELO CHIHUAHUA,DSV,MDC-01,, $125.00 
2901485-1,BASE SOTELO CHIHUAHUA,"JABIL CIRCUIT DE CHIHUAHUA, S DE R.L DE C.V",LOC-01,, $125.00 
2900935-5,SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,SAFRAN PLANTA 5 / ELM / ELECTRIC MEXICO (SEPS),LOC-02,, $125.00 
2900935-4,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,MDC-01,, $125.00 
2901315-4,GYSA JUAREZ 2,GYSA JUAREZ 3,MDC-01,, $125.00 
2901315-3,GYSA JDC,GYSA JUAREZ 2,MDC-01,, $250.00 
2901404-1,APTIV / RIO BRAVO 7 FV32,RIO BRAVO INTERNACIONAL,E-VACIO,PUENTE ZARAGOZA, $250.00 
2899040-7,PHINIA / BERMUDEZ,FLETES SOTELO,LOC-02,, $125.00 
2901246-3,RIO BRAVO INTERNACIONAL,GGLOBAL,PTT-00,, $-   
2901575-2,LEAR LA CUESTA,FLETES SOTELO,PTT-01,, $-   
2899040-6,FLETES SOTELO,PHINIA / BERMUDEZ,PTT-00,, $-   
2901379-1,SMTC PULLMAN,UNI-TRADE FORWARDING LC,PTT-00,, $-   
2901058-1,FLETES SOTELO,CFI,PTT-00,, $-   
2901092-3,XYLEM,XOMOX CHIHUAHUA S.A DE C.V.,PTT-00,, $-   
2901378-1,BASE SOTELO CHIHUAHUA,DTR,LOC-01,, $125.00 
2901338-3,BODEGA DE PALCO,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2901334-1,SOUTHWIRE COMPANY,ELLIOT TAPE 28 WALTER JONES,LOC-03,, $375.00 
2901333-2,FEDERAL-MOGUL EL PASO,SOUTHWIRE COMPANY,LOC-03,, $375.00 
2901527-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,TORO COMPANY DE MEXICO PLANTA 1,PTT-01,, $-   
2894361-8,YARDA DEL SIETE,PHINIA / BERMUDEZ,PTT-00,, $-   
2901294-2,SAFRAN PLANTA 5 / PSM / POWER SWITCHES MÉXICO,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2901294-1,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 5 / PSM / POWER SWITCHES MÉXICO,LOC-01,, $125.00 
2901251-2,YARDA DEL SIETE,FLETES SOTELO,PTT-00,, $-   
2900657-9,IMPULSORA GANE,SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,PTT-00,, $-   
2901331-1,KORIMA / KUNA LOOP,DELFINGEN US-TEXAS,PTT-00,, $-   
2900980-7,APTIV / RIO BRAVO 7 FV32,GYSA JUAREZ 3,PTT-00,, $-   
2900441-8,EMERALD PASS DR.,KORIMA / KUNA LOOP,MDC-01,, $250.00 
2901205-1,UNI-TRADE FORWARDING LC,13699 GATEWAY WEST,PTT-00,, $-   
2900980-5,APTIV / RIO BRAVO 7 FV32,FLETES SOTELO,FAL-00,, $250.00 
2899794-6,EASTLAKE LOGISTICS PARK,RIO BRAVO INTERNACIONAL,LOC-04,, $250.00 
2901212-2,DSV AIR & SEA / 1273 JOE BATTLE SUITE A-1,M Y N PLASTICS,LOC-03,, $375.00 
2900441-7,RIO BRAVO INTERNACIONAL,EMERALD PASS DR.,MDC-01,, $250.00 
2901182-1,GYSA  CDJ,SHELTER AIN SERVICIOS,LOC-01,, $125.00 
2901212-1,KORIMA / KUNA LOOP,DSV AIR & SEA / 1273 JOE BATTLE SUITE A-1,LOC-04,, $250.00 
2901060-2,ESCOTO CUSTOMS BROKERS INC,FLETES SOTELO,FAL-00,PUENTE ZARAGOZA, $250.00 
2901059-2,ESCOTO CUSTOMS BROKERS INC,FLETES SOTELO,FAL-00,, $250.00 
2900929-4,GYSA  CDJ,GYSA JUAREZ 3,LOC-01,, $250.00 
2900980-2,13699 GATEWAY WEST,NA KELLY,PTT-00,, $-   
2901044-2,18 LEIGH FISHER,FLETES SOTELO,IMP-02,PUENTE ZARAGOZA, $500.00 
2900651-5,BASE SOTELO CHIHUAHUA,DTR,LOC-02,, $125.00 
2900657-8,SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2900657-7,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,LOC-02,, $125.00 
2900441-6,EASTLAKE LOGISTICS PARK,RIO BRAVO INTERNACIONAL,LOC-03,, $250.00 
2900835-4,EXPEDITORS  #1,KORIMA / KUNA LOOP,LOC-03,, $125.00 
2900442-4,RIO BRAVO INTERNACIONAL,FLETES SOTELO,FAL-00,, $250.00 
2900743-4,CFI,FLETES SOTELO,PTT-00,PUENTE ZARAGOZA, $-   
2900442-3,PUENTE  ZARAGOZA,RIO BRAVO INTERNACIONAL,LOC-03,, $250.00 
2901062-1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,LOC-02,, $125.00 
2900822-5,SAIA,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2900960-2,ARIES WORLDWIDE LOGISTICS C/O,ELECTROLUX / REFRIGERADORES,QMS-02,PUENTE ZARAGOZA," $1,000.00 "
2901106-1,LEAR RIO BRAVO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,PTT-01,, $-   
2900953-2,PKC GROUP  / FRESNEL 7650,GYSA  CDJ,LOC-02,, $250.00 
2900978-2,SAFRAN BODEGA COMPLEJO,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2900996-2,BODEGA NUEVA XOMOX,XOMOX CHIHUAHUA S.A DE C.V.,LOC-02,, $125.00 
2900978-1,BASE SOTELO CHIHUAHUA,SAFRAN BODEGA COMPLEJO,LOC-01,, $125.00 
2900822-4,FLETES SOTELO,SAIA,TRE-02,PUENTE ZARAGOZA, $500.00 
2900983-1,BODEGA NUEVA XOMOX,SMTC PLANTA 1,PTT-00,, $-   
2900982-1,XOMOX CHIHUAHUA S.A DE C.V.,BODEGA NUEVA XOMOX,LOC-01,, $125.00 
2900989-1,SUMITOMO ELECTRIC WIRING,18 LEIGH FISHER,LOC-03,, $250.00 
2901083-1,LEAR LA CUESTA,BASCULA LA POSTA,MDC-01,, $250.00 
2900957-2,COFICAB MX S.DE. R.L DE C.V / PLANTA DURANGO,FLETES SOTELO,MDC-01,, $375.00 
2900871-6,SAFRAN CABIN,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2900651-4,DTR,BASE SOTELO CHIHUAHUA,LOC-02,, $125.00 
2900444-5,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),LOC-02,, $125.00 
2900957-1,FLETES SOTELO,COFICAB MX S.DE. R.L DE C.V / PLANTA DURANGO,LOC-01,, $375.00 
2900400-5,CFI,FLETES SOTELO,PTT-00,PUENTE AMERICAS, $-   
2900812-3,FLETES SOTELO,ELECTROLUX / PRODUCTO TERMINADO,PTT-00,, $-   
2901052-3,FLETES SOTELO,ELECTROLUX / ESTAMPADOS,PTT-00,, $-   
2900715-1,EXPEDITORS  #1,13699 GATEWAY WEST,PTT-00,, $-   
2900377-3,PUENTE  ZARAGOZA,NA KELLY,LOC-03,, $250.00 
2900812-2,KORIMA / KUNA LOOP,FLETES SOTELO,LOC-01,PUENTE AMERICAS, $250.00 
2901052-2,KORIMA / KUNA LOOP,FLETES SOTELO,MDC-01,PUENTE AMERICAS, $250.00 
2899566-2,CFI,UNI-TRADE FORWARDING LC,PTT-00,, $-   
2900805-1,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),PTT-00,, $-   
2899498-9,13699 GATEWAY WEST,FLETES SOTELO,LOC-04,PUENTE ZARAGOZA, $375.00 
2900802-1,NORDAM,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),PTT-00,, $-   
2900736-1,YARDA ARIES,ARIES WORLDWIDE LOGISTICS C/O,PTT-00,, $-   
2900573-1,GYSA JUAREZ JDC,GYSA JUAREZ 4,PTT-00,, $-   
2900377-2,FLETES SOTELO,PUENTE  ZARAGOZA,TRE-02,PUENTE ZARAGOZA, $500.00 
2900729-3,MGS PLASTICS CHIHUAHUA SA DE CV,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2900729-2,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,MGS PLASTICS CHIHUAHUA SA DE CV,LOC-02,, $125.00 
2900775-1,HISCO EL PASO,18 LEIGH FISHER,LOC-03,, $250.00 
2900774-1,XIAMEN HONFA TRANSPORTATION,HISCO EL PASO,LOC-03,, $250.00 
2900772-2,FEDERAL-MOGUL EL PASO,XIAMEN HONFA TRANSPORTATION,LOC-03,, $125.00 
2900125-5,APTIV / RIO BRAVO 7 FV32,NA KELLY,TRE-02,PUENTE ZARAGOZA, $500.00 
2900417-5,EXPEDITORS  #1,IBCA LOGYSTICS,LOC-04,, $125.00 
2900226-5,DARTAEROSPACE,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2900226-4,BASE SOTELO CHIHUAHUA,DARTAEROSPACE,MDC-01,, $125.00 
2899657-8,CFI,FLETES SOTELO,PTT-00,, $-   
2900432-1,FLETES SOTELO,BODEGA NUEVA RIO BRAVO,PTT-00,PUENTE ZARAGOZA, $-   
2900716-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR LA CUESTA,LOC-02,, $250.00 
2900076-9,GYSA JUAREZ 2,GYSA JDC,MDC-01,, $250.00 
2900449-3,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),XOMOX CHIHUAHUA S.A DE C.V.,PTT-00,, $-   
2899775-3,NA KELLY,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2900563-1,CFI,NA KELLY,PTT-00,, $-   
2900543-1,CFI,IBCA LOGYSTICS,PTT-00,, $-   
2900702-1,LEAR ZARAGOZA,LEAR RIO BRAVO,LOC-02,, $125.00 
2900670-1,LEAR ZARAGOZA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $125.00 
2900521-2,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,"CHIEF ENTERPRISES MEXICO, S. DE R.L. DE C.V.",MDC-01,, $125.00 
2900534-1,BASE SOTELO CHIHUAHUA,SOUTHCO.,LOC-01,, $125.00 
2900554-1,ADVANCED PAPERWORKS,18 LEIGH FISHER,LOC-03,, $250.00 
2900553-1,950 LOMA VERDE,ADVANCED PAPERWORKS,LOC-03,, $250.00 
2900108-19,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,MDC-01,, $125.00 
2900014-5,ELP PGE,SA RECYCLING,MDC-01,, $125.00 
2900014-4,KORIMA / KUNA LOOP,ELP PGE,LOC-03,, $250.00 
2900487-1,IMPULSORA GANE,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),PTT-00,, $-   
2900108-18,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,MDC-01,, $125.00 
2900441-9,KORIMA / KUNA LOOP,FLETES SOTELO,MDC-01,, $250.00 
2900213-6,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),SAFRAN PLANTA 5 / ELM / ELECTRIC MEXICO (SEPS),LOC-02,, $125.00 
2900439-1,NORDAM,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,PTT-00,, $-   
2900178-5,PUENTE  ZARAGOZA,"UNIS, LLC",LOC-03,, $250.00 
2899727-4,SAIA,18 LEIGH FISHER,LOC-04,, $250.00 
2900399-1,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,IMPULSORA GANE,PTT-00,, $-   
2900398-2,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),BASE SOTELO CHIHUAHUA,LOC-02,, $125.00 
2900060-2,FLETES SOTELO,APTIV / RIO BRAVO 7 FV32,LOC-02,PUENTE ZARAGOZA, $250.00 
2900463-1,EAGLE OTAWA / ANTONIO J. BERMUDEZ,FLETES SOTELO,LOC-01,, $250.00 
2899997-2,RIO BRAVO INTERNACIONAL,FLETES SOTELO,PTT-00,PUENTE ZARAGOZA, $-   
2899677-4,RM2,GYSA  CDJ,PTT-00,, $-   
2900014-2,GYSA JUAREZ JDC,RM2,PTT-00,, $-   
2900376-2,AGENCIA ALVELAIS,ELECTROLUX / REFRIGERADORES,MDC-01,, $-   
2900302-1,PACTIV DE MEXICO S. DE R.L DE C.V.,IMPULSORA GANE,LOC-01,, $125.00 
2900226-1,FLETES SOTELO,RIO BRAVO INTERNACIONAL,LOC-04,PUENTE AMERICAS, $250.00 
2899626-4,YARDA DEL SIETE,APTIV / RIO BRAVO 7 FV32,PTT-00,, $-   
2900291-2,APEX DIVERSIFIED / ESTHER LAMA,SOUTHWIRE COMPANY,LOC-03,, $250.00 
2900291-1,KORIMA / KUNA LOOP,APEX DIVERSIFIED / ESTHER LAMA,LOC-04,, $125.00 
2900095-3,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,FOREFRONT,PTT-00,, $-   
2900223-1,GYSA JUAREZ JDC,GYSA JUAREZ 5,LOC-01,, $125.00 
2899629-5,THUASNE MX,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2899629-4,THUASNE MEXICO,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2899498-4,KORIMA / KUNA LOOP,KORIMA / KUNA LOOP,PTT-00,PUENTE AMERICAS, $-   
2899374-7,GYSA  CDJ,PHINIA / BERMUDEZ,PTT-00,, $-   
2900127-2,18 LEIGH FISHER,GYSA JDC,TRI-02,PUENTE ZARAGOZA, $500.00 
2899984-3,GGLOBAL,FLETES SOTELO,TRI-02,, $500.00 
2900117-1,SHELTER AIN SERVICIOS,GYSA JUAREZ 4,PTT-00,, $-   
2899321-4,EASTLAKE LOGISTICS PARK,18 LEIGH FISHER,LOC-04,, $250.00 
2899813-4,FLETES SOTELO,GYSA JDC,LOC-02,, $250.00 
2897421-7,SMTC BODEGA 2,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2897421-6,BASE SOTELO CHIHUAHUA,SMTC BODEGA 2,PTT-00,, $-   
2899985-2,FLETES SOTELO,RIO BRAVO INTERNACIONAL,PTT-00,, $-   
2900050-2,"TMX LOGISTICS, INC.",RIO BRAVO INTERNACIONAL,LOC-03,, $250.00 
2900095-1,NA KELLY,EASTLAKE LOGISTICS PARK,PTT-00,, $-   
2900049-1,KORIMA / KUNA LOOP,UNI-TRADE FORWARDING LC,LOC-04,PUENTE ZARAGOZA, $250.00 
2899503-7,IBCA LOGYSTICS,CFI,LOC-04,, $250.00 
2900067-1,MESILLA VALLEY TRANSPORTATION,ELECTROLUX / PRODUCTO TERMINADO,PTT-00,PUENTE ZARAGOZA, $-   
2900065-1,ELECTROLUX / REFRIGERADORES,GYSA  CDJ,PTT-00,, $-   
2900057-7,IBCA LOGYSTICS,KORIMA / KUNA LOOP,LOC-03,, $250.00 
2899663-5,GYSA JUAREZ 1,SHELTER AIN SERVICIOS,PTT-00,, $-   
2900042-1,ARIES WORLDWIDE LOGISTICS C/O,ELECTROLUX / PRODUCTO TERMINADO,PTT-00,PUENTE ZARAGOZA, $-   
2900042-2,P Y H TRAILER ENTERPRISES INC,ELECTROLUX / PRODUCTO TERMINADO,PTT-00,, $-   
2899536-5,LEGRAND DPC,EASTLAKE LOGISTICS PARK,LOC-04,, $625.00 
2900218-1,STEWART EFI TEXAS LLC,18 LEIGH FISHER,LOC-03,, $125.00 
2899979-2,MERYWEATHER FOAM,ELECTROLUX / REFRIGERADORES,S-TER-02,PUENTE ZARAGOZA," $1,000.00 "
2900030-2,SMTC BODEGA,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2900008-3,MELTON,P Y H TRAILER ENTERPRISES INC,MDC-01,, $250.00 
2900217-2,M Y N PLASTICS,STEWART EFI TEXAS LLC,LOC-03,, $375.00 
2900030-1,SMTC PLANTA 1,SMTC BODEGA,LOC-02,, $125.00 
2900016-3,MESILLA VALLEY TRANSPORTATION,ELECTROLUX / PRODUCTO TERMINADO,PTT-00,, $-   
2899979-1,ELECTROLUX / REFRIGERADORES,MERYWEATHER FOAM,L-VAC-05,PUENTE AMERICAS, $750.00 
2899620-8,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),PTT-00,, $-   
2899978-2,MERYWEATHER FOAM,ACSA,S-TER-02,," $1,000.00 "
2899520-2,18 LEIGH FISHER,FLETES SOTELO,MDC-01,PUENTE AMERICAS, $250.00 
2899540-3,13699 GATEWAY WEST,FLETES SOTELO,MDC-01,PUENTE ZARAGOZA, $375.00 
2899894-1,PACTIV DE MEXICO S. DE R.L DE C.V.,IMPULSORA GANE,PTT-00,, $-   
