Coordenada,Origen,Destino,Tipo,Cruce, pago 
2903312-2,FLETES SOTELO,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",PTT-00,, $-   
2903044-2,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),ATLAS AEROSPACE,PTT-00,, $-   
2903516-1,LEAR LA CUESTA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,MDC-01,, $250.00 
2903515-2,LEAR LA CUESTA,FLETES SOTELO,LOC-01,, $125.00 
2903031-1,GYSA JUAREZ 5,GYSA JUAREZ JDC,LOC-02,, $125.00 
2902843-4,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",GYSA  CDJ,PTT-00,, $-   
2903340-1,ELECTROLUX / LAVADORAS,TEXTAPE / 915 PENDALE,VAC-00,PUENTE AMERICAS, $500.00 
2903394-1,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),XYLEM,PTT-00,, $-   
2903399-1,PACTIV DE MEXICO S. DE R.L DE C.V.,XYLEM,PTT-00,, $-   
2902586-5,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,PTT-00,, $-   
2903448-1,DELFINGEN US-TEXAS,18 LEIGH FISHER,LOC-03,, $250.00 
2903323-1,PAM,XOMOX CHIHUAHUA S.A DE C.V.,LOC-01,, $125.00 
2903194-2,FLETES SOTELO,EMERALD PASS DR.,EXP-02,PUENTE ZARAGOZA, $500.00 
2903306-1,ELECTROLUX / REFRIGERADORES,MERYWEATHER FOAM,L-VAC-05,PUENTE STA TERESA, $750.00 
2902788-4,BASE SOTELO CHIHUAHUA,PAM,MDC-01,, $125.00 
2903036-6,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),LOC-02,, $125.00 
2903036-5,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),SAFRAN PLANTA 5 / ELM / ELECTRIC MEXICO (SEPS),LOC-02,, $125.00 
2903003-3,GYSA JUAREZ 3,GYSA JDC,PTT-00,, $-   
2894618-4,CFI,KORIMA / KUNA LOOP,PTT-00,, $-   
2902399-15,GYSA JUAREZ 3,GYSA JUAREZ 4,MDC-01,, $250.00 
2903190-1,CFI LOGISTICA,13699 GATEWAY WEST,PTT-00,, $-   
2903022-2,RECINTO FISCAL - PUENTE ZARAGOZA,PRECOS ZARAGOZA,FAL-00,PUENTE ZARAGOZA, $250.00 
2903154-1,GYSA  CDJ,GYSA JUAREZ 3,PTT-00,, $-   
2903030-2,IBCA LOGYSTICS,FLETES SOTELO,TRI-02,, $500.00 
2903269-1,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,LOC-01,, $125.00 
2903093-1,CFI,13699 GATEWAY WEST,PTT-00,, $-   
2903173-1,MELTON,MESILLA VALLEY TRANSPORTATION,PTT-00,, $-   
2903141-4,HONEYWELL OPTOELECTRICA,GYSA  CDJ,PTT-00,, $-   
2903223-1,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),PTT-00,, $-   
2903334-1,LEAR  TRIUNFO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,PTT-01,, $-   
2902477-7,SMTC PULLMAN,KORIMA / KUNA LOOP,PTT-00,, $-   
2902590-5,KORIMA / KUNA LOOP,EMERALD PASS DR.,LOC-03,, $250.00 
2903153-1,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),BASE SOTELO CHIHUAHUA,LOC-02,, $125.00 
2903119-1,ELECTROLUX / REFRIGERADORES,P Y H TRAILER ENTERPRISES INC,E-VACIO,PUENTE AMERICAS, $500.00 
2903333-2,FLETES SOTELO,LEAR  TRIUNFO,LOC-01,, $125.00 
2902879-5,GYSA JUAREZ 4,APTIV / RIO BRAVO 7 FV32,PTT-00,, $-   
2903390-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR JARUDO,LOC-01,, $250.00 
2903160-2,FLETES SOTELO,ELECTROLUX / PRODUCTO TERMINADO,PTT-02,PUENTE ZARAGOZA, $-   
2902800-6,ATLAS AEROSPACE,BODEGA NUEVA XOMOX,PTT-00,, $-   
2903304-2,950 LOMA VERDE,SOUTHWIRE COMPANY,LOC-03,, $250.00 
2903044-1,BASE SOTELO CHIHUAHUA,ATLAS AEROSPACE,LOC-01,, $125.00 
2903090-1,XOMOX CHIHUAHUA S.A DE C.V.,FOKKER,PTT-08,, $-   
2903329-1,LEAR  TRIUNFO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $250.00 
2903202-1,NORDAM,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),PTT-00,, $-   
2903328-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR  TRIUNFO,PTT-01,, $-   
2902595-5,SAFRAN PLANTA 5 / ELM / ELECTRIC MEXICO (SEPS),SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),LOC-02,, $125.00 
2903353-1,LEAR LA CUESTA,BASCULA LA POSTA,LOC-02,, $125.00 
2902852-2,GYSA JUAREZ 3,13699 GATEWAY WEST,FAL-00,PUENTE ZARAGOZA, $250.00 
2903193-1,TORO COMPANY DE MEXICO PLANTA 2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-01,, $125.00 
2902785-4,PRECOS ZARAGOZA,RIO BRAVO INTERNACIONAL,TRE-02,PUENTE ZARAGOZA, $500.00 
2902866-1,GYSA JUAREZ JDC,13699 GATEWAY WEST,PTT-00,PUENTE ZARAGOZA, $-   
2902917-1,APTIV / RIO BRAVO 7 FV32,GYSA JUAREZ 4,PTT-00,, $-   
2902471-15,DSV,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,MDC-01,, $125.00 
2902983-1,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),SMTC PLANTA 1,PTT-00,, $-   
2902848-1,SMTC PULLMAN,13699 GATEWAY WEST,PTT-00,, $-   
2902471-14,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,DSV,MDC-01,, $250.00 
2902939-2,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),LOC-02,, $125.00 
2902980-1,YAZAKI COMPONENTES PLANTA 3,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),PTT-00,, $-   
